,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,improve-tech-15,improve-ur-15,improve-vis-15,improve-novel-15,improve-total-15,improve-tech-45,improve-ur-45,improve-vis-45,improve-novel-45,improve-total-45,Q17,Q18,Q10,Q11,Q12,Q13,Q14,Q24
158,4,3,3,3,3,3,4,3,1,3,1,2,6,5,3,5,4,5,4,5,3,3,5,5,1,5,5,5,2,1,0,2,5,5,2,0,20,25,56.25,101.25,0,20,25,64.58,109.59,Male,Hispanic/Latino,Average,6,6,8,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
159,3,4,3,3,3,3,5,4,4,3,3,4,2,4,4,4,4,3,4,3,4,4,4,4,3,5,4,5,3,4,4,4,3,3,2,25,100,58.33,65,248.33,25,100,50,65,240,Male,Hispanic/Latino,Average,1,1,0,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
160,3,4,4,3,4,4,5,5,4,4,3,4,4,5,5,5,5,5,5,3,5,4,5,5,3,4,3,5,1,1,1,1,5,5,2,25,60,29.17,25,139.17,0,20,4.17,-4.17,20,Male,Hispanic/Latino,Average,0,0.5,25,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
161,0,3,6,3,4,3,6,6,6,6,3,3,0,3,6,5,6,5,5,5,6,4,5,5,4,4,5,6,2,2,3,4,5,2,2,-12.5,0,0,0,-12.5,0,0,0,0,0,Male,White,Top 10,5,2,30,2,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
162,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,-50,0,0,0,-50,0,0,0,0,0,Male,Hispanic/Latino,Top 10,2,10,0,4,
163,5,5,6,6,5,5,6,5,6,5,6,6,0,5,5,5,5,5,3,5,5,5,4,6,6,6,6,5,5,4,5,5,5,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
164,3,5,5,3,5,5,6,5,5,5,4,6,3,5,5,5,5,5,5,5,5,5,5,4,3,4,3,4,3,3,3,3,4,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
165,0,3,4,3,0,5,5,3,3,4,4,5,5,5,3,4,4,4,4,3,4,5,3,3,3,4,3,4,3,4,3,2,5,5,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
166,0,0,3,0,0,0,2,0,1,4,0,3,6,3,3,4,3,4,3,4,5,3,5,2,0,1,1,4,0,0,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
167,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
